NCT03769298	18 Years to 70 Years   	null	Adult	null
NCT03653546	18 Years and older   	null	Adult	null
NCT03641209	up to 96 Hours   	Child	null	null
NCT03601000	60 Years to 85 Years   	null	Adult	null
NCT03498196	18 Years and older   	null	Adult	null
NCT03453255	14 Years to 65 Years   	Child	null	null
NCT03420976	19 Years to 84 Years   	null	Adult	null
NCT03395288	20 Years and older   	null	Adult	null
NCT03361345	18 Years to 65 Years   	null	Adult	null
NCT03354611	35 Years and older   	null	Adult	null
NCT03334175	18 Years to 65 Years   	null	Adult	null
NCT03317327	18 Years and older   	null	Adult	null
NCT03262961	18 Years to 35 Years   	null	Adult	null
NCT03227731	18 Years to 50 Years   	null	Adult	null
NCT02786836	18 Years to 80 Years   	null	Adult	null
NCT01203722	6 Months to 75 Years   	Child	null	null
NCT03837717	up to 2 Days   	Child	null	null
NCT03836508	18 Years to 65 Years   	null	Adult	null
NCT03833596	18 Years to 75 Years   	null	Adult	null
NCT03833531	18 Years to 65 Years   	null	Adult	null
NCT03833453	18 Years to 65 Years   	null	Adult	null
NCT03832712	18 Years to 75 Years   	null	Adult	null
NCT03832530	18 Years to 35 Years   	null	Adult	null
NCT03830190	18 Years and older   	null	Adult	null
NCT03830008	18 Years and older   	null	Adult	null
NCT03829748	18 Years and older   	null	Adult	null
NCT03828721	6 Months to 21 Months   	Child	null	null
NCT03827915		Child	null	null
NCT03825146	20 Years to 60 Years   	null	Adult	null
NCT03823456	20 Years to 84 Years   	null	Adult	null
NCT03818867	18 Years and older   	null	Adult	null
NCT03817489	18 Years and older   	null	Adult	null
NCT03814577	18 Years to 65 Years   	null	Adult	null
NCT03814330	18 Years to 55 Years   	null	Adult	null
NCT03813992	18 Years to 70 Years   	null	Adult	null
NCT03813381	18 Years and older   	null	Adult	null
NCT03813069	3 Years to 65 Years   	Child	null	null
NCT03809286	22 Years to 50 Years   	null	Adult	null
NCT03807986	18 Years to 35 Years   	null	Adult	null
NCT03801772	18 Years and older   	null	Adult	null
NCT03799328	6 Months to 15 Years   	Child	null	null
NCT03798483	16 Years and older   	Child	null	null
NCT03796923	75 Years and older   	null	null	Older Adult
NCT03796793	18 Years and older   	null	Adult	null
NCT03795675	18 Years to 70 Years   	null	Adult	null
NCT03791697	18 Years and older   	null	Adult	null
NCT03790449		Child	null	null
NCT03786432	18 Years and older   	null	Adult	null
NCT03783767	8 Years to 14 Years   	Child	null	null
NCT03783312	18 Years to 65 Years   	null	Adult	null
NCT03783299	18 Months and older   	Child	null	null
NCT03782974	18 Years to 65 Years   	null	Adult	null
NCT03781050		Child	null	null
NCT03778580	65 Years and older   	null	null	Older Adult
NCT03773575	18 Years and older   	null	Adult	null
NCT03771495	18 Years to 60 Years   	null	Adult	null
NCT03771430	18 Years and older   	null	Adult	null
NCT03770962	18 Years to 47 Years   	null	Adult	null
NCT03770507	7 Years to 35 Years   	Child	null	null
NCT03767660		Child	null	null
NCT03761732	18 Years to 65 Years   	null	Adult	null
NCT03753932		Child	null	null
NCT03753243	18 Years and older   	null	Adult	null
NCT03751878		Child	null	null
NCT03749655	40 Years to 75 Years   	null	Adult	null
NCT03748914	up to 15 Minutes   	Child	null	null
NCT03747887	5 Years to 14 Years   	Child	null	null
NCT03745209	18 Years and older   	null	Adult	null
NCT03743480	18 Years and older   	null	Adult	null
NCT03740659	40 Years and older   	null	Adult	null
NCT03740321	18 Years to 75 Years   	null	Adult	null
NCT03739528	40 Years and older   	null	Adult	null
NCT03737227	18 Years to 25 Years   	null	Adult	null
NCT03736382	18 Years to 60 Years   	null	Adult	null
NCT03730454	up to 6 Months   	Child	null	null
NCT03729687	18 Years and older   	null	Adult	null
NCT03729648	18 Years to 64 Years   	null	Adult	null
NCT03729297	18 Years and older   	null	Adult	null
NCT03727321	18 Years to 65 Years   	null	Adult	null
NCT03725215	18 Years and older   	null	Adult	null
NCT03724383	19 Years to 75 Years   	null	Adult	null
NCT03723525	16 Years and older   	Child	null	null
NCT03719235	10 Years to 70 Years   	Child	null	null
NCT03716219	8 Years to 35 Years   	Child	null	null
NCT03714139	25 Years to 70 Years   	null	Adult	null
NCT03711630	18 Years and older   	null	Adult	null
NCT03711370	up to 8 Weeks   	Child	null	null
NCT03709979	up to 24 Months   	Child	null	null
NCT03704415	18 Years to 65 Years   	null	Adult	null
NCT03704064	18 Years and older   	null	Adult	null
NCT03704051	up to 24 Weeks   	Child	null	null
NCT03699059	18 Years and older   	null	Adult	null
NCT03697837	3 Years to 9 Years   	Child	null	null
NCT03695003	30 Years to 60 Years   	null	Adult	null
NCT03690154	18 Years and older   	null	Adult	null
NCT03689348	35 Years to 65 Years   	null	Adult	null
NCT03689049	65 Years and older   	null	null	Older Adult
NCT03687411	21 Years to 75 Years   	null	Adult	null
NCT03685227	18 Years to 45 Years   	null	Adult	null
NCT03682601	20 Years to 70 Years   	null	Adult	null
NCT03680833	18 Years to 80 Years   	null	Adult	null
NCT03679689	19 Years to 27 Years   	null	Adult	null
NCT03678935	18 Years to 75 Years   	null	Adult	null
NCT03675009	18 Years and older   	null	Adult	null
NCT03674996	40 Years to 75 Years   	null	Adult	null
NCT03668873	2 Years to 7 Years   	Child	null	null
NCT03667755	18 Years and older   	null	Adult	null
NCT03667001	18 Years to 80 Years   	null	Adult	null
NCT03663075	40 Years to 60 Years   	null	Adult	null
NCT03658434	18 Years and older   	null	Adult	null
NCT03654508	6 Years to 17 Years   	Child	null	null
NCT03648437	up to 4 Months   	Child	null	null
NCT03648060	18 Years and older   	null	Adult	null
NCT03648047	18 Years and older   	null	Adult	null
NCT03647007	7 Years to 14 Years   	Child	null	null
NCT03646357	18 Years and older   	null	Adult	null
NCT03646240	3 Years to 26 Years   	Child	null	null
NCT03645603	up to 18 Years   	Child	null	null
NCT03645005	21 Years and older   	null	Adult	null
NCT03642769	18 Years and older   	null	Adult	null
NCT03638609	18 Years to 75 Years   	null	Adult	null
NCT03635840	18 Years to 80 Years   	null	Adult	null
NCT03632837	18 Years to 75 Years   	null	Adult	null
NCT03630770	up to 6 Months   	Child	null	null
NCT03630328	21 Years to 65 Years   	null	Adult	null
NCT03628001	18 Years and older   	null	Adult	null
NCT03625544	18 Years to 80 Years   	null	Adult	null
NCT03623880	18 Years and older   	null	Adult	null
NCT03620942	21 Years to 50 Years   	null	Adult	null
NCT03619720	18 Years and older   	null	Adult	null
NCT03618108	18 Years to 80 Years   	null	Adult	null
NCT03618017	21 Years to 84 Years   	null	Adult	null
NCT03615586	18 Years to 85 Years   	null	Adult	null
NCT03602768	60 Years and older   	null	Adult	null
NCT03602677	18 Years and older   	null	Adult	null
NCT03602014	18 Years to 89 Years   	null	Adult	null
NCT03600987	18 Years and older   	null	Adult	null
NCT03598114	18 Years and older   	null	Adult	null
NCT03593889	60 Years and older   	null	Adult	null
NCT03593148	18 Years to 99 Years   	null	Adult	null
NCT03591237	18 Years and older   	null	Adult	null
NCT03585920	18 Years to 70 Years   	null	Adult	null
NCT03585192		Child	null	null
NCT03582046	18 Years and older   	null	Adult	null
NCT03579303	18 Years to 36 Years   	null	Adult	null
NCT03578848	20 Years to 90 Years   	null	Adult	null
NCT03578432	18 Years to 75 Years   	null	Adult	null
NCT03577301	15 Years to 24 Years   	Child	null	null
NCT03577106	50 Years and older   	null	Adult	null
NCT03577054	18 Years to 65 Years   	null	Adult	null
NCT03575026	60 Years and older   	null	Adult	null
NCT03568812	18 Years to 55 Years   	null	Adult	null
NCT03567031	up to 6 Months   	Child	null	null
NCT03567018	18 Years and older   	null	Adult	null
NCT03565354	18 Years and older   	null	Adult	null
NCT03564665	25 Years to 85 Years   	null	Adult	null
NCT03562546	18 Years to 99 Years   	null	Adult	null
NCT03561961	18 Years and older   	null	Adult	null
NCT03561103	18 Years to 100 Years   	null	Adult	null
NCT03559751	22 Years to 65 Years   	null	Adult	null
NCT03559179		Child	null	null
NCT03558763	45 Years and older   	null	Adult	null
NCT03555500	18 Years and older   	null	Adult	null
NCT03553927	18 Years to 60 Years   	null	Adult	null
NCT03553004	18 Years and older   	null	Adult	null
NCT03552523	18 Years and older   	null	Adult	null
NCT03550885	45 Years to 75 Years   	null	Adult	null
NCT03543098	16 Years to 55 Years   	Child	null	null
NCT03542383	45 Years to 78 Years   	null	Adult	null
NCT03541291	18 Years and older   	null	Adult	null
NCT03540732	60 Years and older   	null	Adult	null
NCT03540368	18 Years and older   	null	Adult	null
NCT03540134	30 Years and older   	null	Adult	null
NCT03540069	30 Years to 59 Years   	null	Adult	null
NCT03538730	4 Years to 7 Years   	Child	null	null
NCT03538379	18 Years and older   	null	Adult	null
NCT03537612	10 Years to 21 Years   	Child	null	null
NCT03535675	18 Years to 99 Years   	null	Adult	null
NCT03534362	18 Years to 90 Years   	null	Adult	null
NCT03527927	40 Years to 90 Years   	null	Adult	null
NCT03527849	50 Years to 80 Years   	null	Adult	null
NCT03527121	18 Years and older   	null	Adult	null
NCT03526068	21 Years to 100 Years   	null	Adult	null
NCT03526042	16 Years to 50 Years   	Child	null	null
NCT03524703	18 Years to 80 Years   	null	Adult	null
NCT03523806	10 Years to 18 Years   	Child	null	null
NCT03523299	18 Years and older   	null	Adult	null
NCT03521960	18 Years and older   	null	Adult	null
NCT03519750	20 Years to 40 Years   	null	Adult	null
NCT03519659	18 Years and older   	null	Adult	null
NCT03518216	11 Years to 16 Years   	Child	null	null
NCT03517397	18 Years to 64 Years   	null	Adult	null
NCT03516877	18 Years to 64 Years   	null	Adult	null
NCT03513822	18 Years and older   	null	Adult	null
NCT03512691	40 Years to 70 Years   	null	Adult	null
NCT03510195	18 Years and older   	null	Adult	null
NCT03508921	18 Years and older   	null	Adult	null
NCT03508908	18 Years to 39 Years   	null	Adult	null
NCT03507647	18 Years and older   	null	Adult	null
NCT03503721	50 Years and older   	null	Adult	null
NCT03503162	22 Years and older   	null	Adult	null
NCT03502655	18 Years and older   	null	Adult	null
NCT03502252	2 Years to 4 Years   	Child	null	null
NCT03501316	18 Years to 70 Years   	null	Adult	null
NCT03500419	18 Years and older   	null	Adult	null
NCT03500406	18 Years and older   	null	Adult	null
NCT03500367	18 Years to 50 Years   	null	Adult	null
NCT03496948	35 Years to 80 Years   	null	Adult	null
NCT03495791	18 Years and older   	null	Adult	null
NCT03495752	18 Years and older   	null	Adult	null
NCT03495661	50 Years to 85 Years   	null	Adult	null
NCT03495518	8 Years to 18 Years   	Child	null	null
NCT03495089	40 Years and older   	null	Adult	null
NCT03494816	18 Years and older   	null	Adult	null
NCT03494335	18 Years and older   	null	Adult	null
NCT03494205	18 Years and older   	null	Adult	null
NCT03492476	18 Years and older   	null	Adult	null
NCT03491059	18 Years to 80 Years   	null	Adult	null
NCT03491046	18 Years to 60 Years   	null	Adult	null
NCT03490812	18 Years and older   	null	Adult	null
NCT03490656	18 Years and older   	null	Adult	null
NCT03489395	18 Years to 99 Years   	null	Adult	null
NCT03488511	18 Years and older   	null	Adult	null
NCT03487718	18 Years to 80 Years   	null	Adult	null
NCT03486444	18 Years and older   	null	Adult	null
NCT03486106	18 Years and older   	null	Adult	null
NCT03484533	18 Years and older   	null	Adult	null
NCT03484338	60 Years and older   	null	Adult	null
NCT03484273	18 Years to 60 Years   	null	Adult	null
NCT03483935	18 Years and older   	null	Adult	null
NCT03482908	18 Years to 55 Years   	null	Adult	null
NCT03481023	18 Years to 90 Years   	null	Adult	null
NCT03479697	18 Years and older   	null	Adult	null
NCT03478163	18 Years and older   	null	Adult	null
NCT03478137	35 Years and older   	null	Adult	null
NCT03477500	18 Years to 50 Years   	null	Adult	null
NCT03477045	18 Years to 65 Years   	null	Adult	null
NCT03473899	18 Years to 35 Years   	null	Adult	null
NCT03473665	18 Years and older   	null	Adult	null
NCT03472820	50 Years to 72 Years   	null	Adult	null
NCT03472430	18 Years to 42 Years   	null	Adult	null
NCT03472378	18 Years to 64 Years   	null	Adult	null
NCT03471117	35 Years to 70 Years   	null	Adult	null
NCT03470389	18 Years and older   	null	Adult	null
NCT03469609	up to 12 Months   	Child	null	null
NCT03468621		Child	null	null
NCT03466164	22 Years to 45 Years   	null	Adult	null
NCT03465982	18 Years and older   	null	Adult	null
NCT03464773	6 Months to 18 Years   	Child	null	null
NCT03464266	16 Years to 25 Years   	Child	null	null
NCT03462966	18 Years to 75 Years   	null	Adult	null
NCT03462823	18 Years to 60 Years   	null	Adult	null
NCT03459014	55 Years and older   	null	Adult	null
NCT03457519	15 Years to 60 Years   	Child	null	null
NCT03457506	18 Years and older   	null	Adult	null
NCT03456895	18 Years and older   	null	Adult	null
NCT03456128	65 Years and older   	null	null	Older Adult
NCT03455426	20 Years and older   	null	Adult	null
NCT03454282	18 Years to 75 Years   	null	Adult	null
NCT03454087	18 Years and older   	null	Adult	null
NCT03453190	18 Years and older   	null	Adult	null
NCT03451266	18 Years to 50 Years   	null	Adult	null
NCT03450655	70 Years to 70 Years   	null	null	Older Adult
NCT03450564	15 Years to 49 Years   	Child	null	null
NCT03449693	9 Years to 18 Years   	Child	null	null
NCT03448289	15 Years to 49 Years   	Child	null	null
NCT03447119	3 Years and older   	Child	null	null
NCT03444103	18 Years to 100 Years   	null	Adult	null
NCT03443388	18 Years to 60 Years   	null	Adult	null
NCT03443258	16 Years and older   	Child	null	null
NCT03441867	18 Years to 60 Years   	null	Adult	null
NCT03438708	18 Years and older   	null	Adult	null
NCT03435497	18 Years and older   	null	Adult	null
NCT03435172	18 Years to 65 Years   	null	Adult	null
NCT03434392	18 Years and older   	null	Adult	null
NCT03433222	18 Years and older   	null	Adult	null
NCT03432832	12 Years to 21 Years   	Child	null	null
NCT03432819	18 Years and older   	null	Adult	null
NCT03429010	75 Years and older   	null	null	Older Adult
NCT03428477	18 Years and older   	null	Adult	null
NCT03426436	18 Years and older   	null	Adult	null
NCT03425890	21 Years to 85 Years   	null	Adult	null
NCT03423394	18 Years and older   	null	Adult	null
NCT03423303	50 Years to 63 Years   	null	Adult	null
NCT03422536	18 Years and older   	null	Adult	null
NCT03421262	18 Years to 50 Years   	null	Adult	null
NCT03420404	21 Years to 100 Years   	null	Adult	null
NCT03419715	18 Years to 65 Years   	null	Adult	null
NCT03418870	up to 33 Weeks   	Child	null	null
NCT03418324	18 Years and older   	null	Adult	null
NCT03415880	40 Years to 65 Years   	null	Adult	null
NCT03415841	21 Years to 85 Years   	null	Adult	null
NCT03412149	18 Years to 65 Years   	null	Adult	null
NCT03412084	56 Years and older   	null	Adult	null
NCT03410511	18 Years to 60 Years   	null	Adult	null
NCT03408873	18 Years and older   	null	Adult	null
NCT03408574	18 Years to 75 Years   	null	Adult	null
NCT03406520	21 Years to 90 Years   	null	Adult	null
NCT03405090	40 Years to 90 Years   	null	Adult	null
NCT03404011	18 Years to 70 Years   	null	Adult	null
NCT03401047	18 Years to 30 Years   	null	Adult	null
NCT03399318	2 Years to 11 Years   	Child	null	null
NCT03397030	40 Years and older   	null	Adult	null
NCT03396094	21 Years to 99 Years   	null	Adult	null
NCT03394599	18 Years and older   	null	Adult	null
NCT03392415	18 Years and older   	null	Adult	null
NCT03386227	18 Years to 43 Years   	null	Adult	null
NCT03384706	18 Years and older   	null	Adult	null
NCT03382171	18 Years and older   	null	Adult	null
NCT03382093	18 Years to 65 Years   	null	Adult	null
NCT03381027	37 Weeks to 42 Weeks   	Child	null	null
NCT03380884	60 Years and older   	null	Adult	null
NCT03380013	37 Weeks and older   	Child	null	null
NCT03379818	24 Months to 48 Months   	Child	null	null
NCT03375879	50 Years and older   	null	Adult	null
NCT03375229	18 Years to 65 Years   	null	Adult	null
NCT03372174	18 Years and older   	null	Adult	null
NCT03371836	6 Years to 17 Years   	Child	null	null
NCT03369600	18 Years and older   	null	Adult	null
NCT03367364	18 Years and older   	null	Adult	null
NCT03365518	19 Years and older   	null	Adult	null
NCT03364660	18 Years and older   	null	Adult	null
NCT03364114	30 Years to 79 Years   	null	Adult	null
NCT03362983		Child	null	null
NCT03359863	18 Years to 80 Years   	null	Adult	null
NCT03357042	18 Years to 50 Years   	null	Adult	null
NCT03356652	18 Years and older   	null	Adult	null
NCT03356210	18 Years and older   	null	Adult	null
NCT03356106	18 Years to 50 Years   	null	Adult	null
NCT03355456	18 Years to 85 Years   	null	Adult	null
NCT03354325	up to 2 Years   	Child	null	null
NCT03354286	2 Years to 6 Years   	Child	null	null
NCT03353298	18 Years and older   	null	Adult	null
NCT03352947	18 Years and older   	null	Adult	null
NCT03350737		Child	null	null
NCT03348761	18 Years to 64 Years   	null	Adult	null
NCT03346668	18 Years and older   	null	Adult	null
NCT03342976	60 Years to 85 Years   	null	Adult	null
NCT03341975	14 Years to 19 Years   	Child	null	null
NCT03341520	18 Years and older   	null	Adult	null
NCT03340922	18 Years and older   	null	Adult	null
NCT03337607	18 Years to 80 Years   	null	Adult	null
NCT03337360	18 Years to 50 Years   	null	Adult	null
NCT03336879	18 Years to 65 Years   	null	Adult	null
NCT03335475	15 Years to 25 Years   	Child	null	null
NCT03335358	18 Years and older   	null	Adult	null
NCT03335319	18 Years and older   	null	Adult	null
